Date,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),Atmospheric Pressure (hPa),Weather Condition
2023-12-29,8.8,64.0,0.0,16.1,1015.2,Cloudy
2024-11-24,12.9,43.0,0.0,7.9,1021.3,Sunny
2024-11-05,13.4,61.0,0.0,12.2,1012.7,Cloudy
2023-12-18,,35.0,0.0,9.1,1016.9,Sunny
2023-10-05,18.3,65.0,0.0,13.5,1013.6,Cloudy
2025-07-26,,45.0,0.0,10.0,1019.5,Sunny
2025-03-03,11.1,54.0,0.0,12.0,1010.8,Cloudy
2024-07-03,31.9,48.0,0.0,10.9,1019.5,Sunny
2025-06-02,30.9,54.0,0.0,7.2,1017.1,Sunny
2024-10-12,17.4,84.0,11.6,20.1,1000.5,Rainy
2023-01-11,11.1,45.0,0.0,12.3,1022.5,Sunny
2024-11-09,8.3,91.0,32.4,36.1,990.3,Stormy
2023-11-16,13.9,78.0,0.0,10.6,1012.4,Cloudy
2023-04-07,14.6,57.0,0.0,10.7,1013.0,Cloudy
2024-02-28,9.6,63.0,0.0,7.5,1011.1,Cloudy
2023-10-17,18.4,60.0,0.0,6.7,1013.8,Cloudy
2023-05-19,26.9,48.0,0.0,9.6,1016.3,Sunny
2025-12-04,5.6,87.0,45.0,55.9,994.9,Stormy
2024-05-09,25.1,47.0,0.0,3.0,1020.1,Sunny
2023-11-20,12.9,72.0,0.0,9.5,1010.9,Cloudy
2024-09-18,23.2,73.0,0.0,16.6,1015.4,Cloudy
2024-07-15,30.6,56.0,0.0,5.7,1024.4,Sunny
2024-05-21,25.3,61.0,0.0,15.0,1010.2,Cloudy
2024-10-30,18.9,44.0,0.0,16.4,1024.1,Sunny
2023-12-03,14.6,53.0,0.0,8.2,1023.6,Sunny
2024-07-06,33.6,32.0,0.0,9.6,1022.0,Sunny
2023-02-19,9.3,65.0,1.0,18.9,1008.4,Cloudy
2023-04-18,13.5,100.0,62.7,55.0,997.5,Stormy
2023-03-01,8.0,61.0,0.0,10.9,1011.1,Cloudy
2023-10-14,18.4,62.0,0.0,16.1,1015.4,Cloudy
2023-11-18,10.9,64.0,0.0,7.1,1012.5,Cloudy
2025-02-01,6.2,69.0,0.7,8.3,1013.4,Cloudy
2023-12-21,10.3,47.0,0.0,7.3,1016.3,Sunny
2024-09-23,20.7,55.0,0.4,7.2,1012.1,Cloudy
2025-09-05,21.0,85.0,21.3,19.9,1008.6,Rainy
2025-04-03,16.9,43.0,0.0,8.1,1020.4,Sunny
2023-01-24,2.3,89.0,17.9,25.5,1001.8,Rainy
2025-06-15,21.8,92.0,2.6,10.4,1004.4,Rainy
2023-01-13,6.4,60.0,1.5,9.7,1012.0,Cloudy
2024-06-20,24.0,98.0,33.5,51.2,995.1,Stormy
2024-06-25,23.9,87.0,49.6,48.7,994.5,Stormy
2025-08-12,31.9,46.0,0.0,8.1,1015.3,Sunny
2024-06-10,29.8,48.0,0.0,6.8,1018.5,Sunny
2024-01-16,0.6,81.0,13.3,18.7,1005.3,Rainy
2024-01-24,5.8,56.0,0.9,12.0,1010.9,Cloudy
2023-03-25,15.2,47.0,0.0,12.6,1018.2,Sunny
2025-06-03,27.1,66.0,0.0,8.1,1016.8,Cloudy
2025-09-23,27.8,51.0,0.0,12.4,1021.1,Sunny
2023-07-30,26.5,83.0,3.5,11.4,1002.7,Rainy
2025-04-23,20.2,69.0,0.0,10.2,1009.1,Cloudy
2025-02-21,12.4,47.0,0.0,3.1,1016.2,Sunny
2024-02-03,10.0,59.0,0.0,16.7,1012.2,Cloudy
2023-08-20,22.9,87.0,10.8,23.3,999.3,Rainy
2023-03-18,16.8,41.0,0.0,4.6,1018.6,Sunny
2024-09-14,23.5,57.0,1.4,17.6,1008.9,Cloudy
2025-08-25,30.3,49.0,0.0,6.2,1020.1,Sunny
2024-07-29,29.8,49.0,0.0,6.9,1015.6,Sunny
2025-03-13,10.7,76.0,8.6,19.4,1007.2,Rainy
2024-04-23,24.4,30.0,0.0,8.8,1023.4,Sunny
2024-03-01,13.5,48.0,0.0,4.4,1016.4,Sunny
2023-10-03,17.6,85.0,2.2,23.0,1000.5,Rainy
2023-12-11,3.1,87.0,39.5,45.3,992.0,Stormy
2023-05-20,22.9,60.0,0.0,17.2,1011.6,Cloudy
2023-06-06,27.8,73.0,0.0,18.9,1011.5,Cloudy
2024-11-04,15.9,48.0,0.0,10.8,1017.8,Sunny
2025-01-23,10.4,40.0,0.0,9.3,1015.0,Sunny
2023-07-28,33.6,43.0,0.0,8.8,1016.0,Sunny
2025-01-27,0.8,86.0,28.8,17.8,1004.1,Rainy
2024-04-26,19.0,58.0,0.0,19.6,1016.2,Cloudy
2024-05-22,21.8,69.0,0.0,9.9,1015.1,Cloudy
2024-01-13,3.8,97.0,52.2,48.3,984.9,Stormy
2024-04-22,21.0,34.0,0.0,2.3,1024.7,Sunny
2024-02-29,11.0,36.0,0.0,8.7,1024.5,Sunny
2023-11-06,20.6,46.0,0.0,5.5,1022.4,Sunny
2023-06-24,32.3,41.0,0.0,8.4,1025.1,Sunny
2024-06-14,31.5,46.0,0.0,11.1,1016.6,Sunny
2025-05-23,21.2,89.0,4.6,24.9,1002.9,Rainy
2023-12-09,6.6,87.0,5.6,26.2,999.3,Rainy
2024-12-05,6.0,92.0,5.3,16.5,1000.0,Rainy
2023-03-20,14.1,44.0,0.0,11.2,1019.0,Sunny
2025-06-30,31.0,49.0,0.0,7.9,1015.8,Sunny
2025-03-11,10.9,53.0,0.0,20.8,1012.2,Cloudy
2023-11-25,13.0,67.0,0.0,16.6,1011.3,Cloudy
2023-07-12,,70.0,0.0,6.2,1011.0,Cloudy
2025-01-29,5.2,54.0,0.0,8.2,1014.6,Cloudy
2024-12-12,11.1,37.0,0.0,9.0,1021.3,Sunny
2023-02-09,12.5,37.0,0.0,9.9,1015.7,Sunny
2023-01-31,3.9,81.0,2.7,19.4,999.6,Rainy
2025-04-02,15.0,63.0,0.0,10.8,1011.9,Cloudy
2023-05-17,17.1,98.0,50.3,31.5,993.9,Stormy
2023-02-24,8.7,57.0,0.0,7.8,1010.2,Cloudy
2025-03-31,19.8,46.0,0.0,14.5,1025.2,Sunny
2023-10-20,14.9,73.0,0.0,15.7,1013.5,Cloudy
2024-08-08,31.5,43.0,0.0,,1022.2,Sunny
2024-11-23,8.0,94.0,15.9,21.4,1003.1,Rainy
2023-11-24,15.3,38.0,0.0,3.3,1021.7,Sunny
2024-09-28,19.2,57.0,0.0,12.0,1011.0,Cloudy
2023-01-04,,61.0,0.1,7.6,1013.8,Cloudy
2023-11-30,10.2,74.0,0.0,20.1,1014.5,Cloudy
2024-06-09,28.6,,0.0,15.7,1020.9,Sunny
2025-12-14,4.8,86.0,58.2,57.9,996.9,Stormy
2024-11-25,15.2,48.0,0.0,6.2,1017.7,Sunny
2025-01-15,9.8,64.0,0.0,7.0,1015.6,Cloudy
2025-02-27,7.7,57.0,0.0,7.0,1009.2,Cloudy
2024-07-14,33.0,44.0,0.0,11.1,1018.9,Sunny
2025-11-28,8.8,82.0,7.1,20.4,1005.9,Rainy
2023-02-28,12.0,53.0,0.0,14.3,1023.4,Sunny
2023-10-18,19.3,73.0,0.0,12.1,1014.2,Cloudy
2025-03-14,12.3,59.0,0.0,7.4,1009.4,Cloudy
2023-03-05,8.0,90.0,7.8,15.7,1003.1,Rainy
2024-09-05,29.4,52.0,0.0,3.9,1018.5,Sunny
2024-09-09,19.3,88.0,21.0,20.3,1005.1,Rainy
2025-05-09,25.0,47.0,0.0,17.4,1016.2,Sunny
2023-04-11,21.6,49.0,0.0,,1015.2,Sunny
2023-06-18,25.0,68.0,0.4,9.9,1009.2,Cloudy
2025-05-12,28.1,50.0,0.0,4.4,1019.1,Sunny
2025-09-06,20.0,81.0,9.0,20.6,1005.4,Rainy
2023-11-29,13.2,39.0,0.0,8.1,1016.5,Sunny
2024-06-13,18.3,100.0,42.4,54.0,987.0,Stormy
2025-12-19,5.7,87.0,2.8,27.0,1000.2,Rainy
2024-04-03,18.7,36.0,0.0,3.7,1016.2,Sunny
2023-09-28,22.9,68.0,0.0,7.3,1011.0,Cloudy
2024-09-26,24.3,47.0,0.0,12.7,1020.8,Sunny
2025-08-05,32.1,37.0,0.0,5.2,1022.8,Sunny
2025-12-11,5.1,79.0,40.8,17.7,1009.4,Rainy
2025-04-21,16.9,94.0,16.0,26.6,1005.6,Rainy
2023-03-08,8.8,91.0,3.2,24.9,998.8,Rainy
2023-11-05,16.4,71.0,0.6,6.4,1013.4,Cloudy
2023-03-09,9.5,71.0,0.0,10.5,1011.4,Cloudy
2025-02-25,6.9,69.0,0.0,16.1,1013.2,Cloudy
2023-01-13,6.4,60.0,1.5,9.7,1012.0,Cloudy
2023-12-26,6.6,55.0,0.0,8.2,1014.1,Cloudy
2024-07-05,30.9,42.0,0.0,17.0,1018.5,Sunny
2024-09-21,25.6,47.0,0.0,10.1,1021.2,Sunny
2024-05-28,28.5,35.0,0.0,12.5,1016.2,Sunny
2025-06-20,31.6,50.0,0.0,12.9,1018.5,Sunny
2025-01-30,11.8,54.0,0.0,4.3,1018.9,Sunny
2023-07-04,33.4,36.0,0.0,8.5,1023.4,Sunny
2023-12-13,12.4,35.0,0.0,14.2,1020.3,Sunny
2023-12-28,5.6,93.0,5.2,12.7,1009.6,Rainy
2023-09-01,30.0,48.0,0.0,10.7,1019.2,Sunny
2025-03-04,8.7,85.0,50.3,22.3,1006.0,Rainy
2025-05-24,19.7,81.0,2.0,18.6,1002.5,Rainy
2025-05-15,17.3,100.0,67.3,50.9,998.0,Stormy
2025-09-20,28.4,43.0,0.0,14.0,1021.8,Sunny
2025-07-17,30.6,41.0,0.0,11.1,1020.0,Sunny
2025-02-19,16.2,43.0,0.0,11.2,1015.9,Sunny
2025-01-04,6.0,,0.0,10.7,1010.3,Cloudy
2023-09-18,26.9,51.0,0.0,14.3,1018.4,Sunny
2023-10-22,21.5,47.0,0.0,13.0,1017.2,Sunny
2023-10-24,17.5,68.0,0.0,9.9,1014.3,Cloudy
2023-01-03,7.5,61.0,0.0,7.1,1012.6,Cloudy
2023-01-07,4.5,84.0,3.2,24.2,1003.7,Rainy
2024-08-14,28.2,70.0,0.0,17.0,1014.6,Cloudy
2023-09-05,21.8,81.0,2.1,25.1,1002.9,Rainy
2025-05-16,,42.0,0.0,6.7,1021.3,Sunny
2024-12-21,4.3,91.0,19.8,14.3,997.3,Rainy
2024-08-12,30.0,48.0,0.0,10.3,1017.9,Sunny
2024-06-29,33.5,51.0,0.0,5.7,1015.2,Sunny
2025-06-11,25.8,72.0,0.0,5.9,1013.7,Cloudy
2023-08-04,33.5,48.0,0.0,10.6,1017.5,Sunny
2025-11-18,9.1,90.0,5.1,12.9,1003.0,Rainy
2024-06-22,32.4,54.0,0.0,5.8,1016.1,Sunny
2024-02-25,8.6,60.0,0.0,14.7,1010.4,Cloudy
2024-11-06,13.9,59.0,0.0,14.4,1013.1,Cloudy
2025-11-01,8.1,89.0,24.5,50.7,988.9,Stormy
2024-12-31,,72.0,0.0,6.5,1013.1,Cloudy
2025-04-14,15.0,79.0,5.3,12.7,1002.7,Rainy
2025-10-25,21.9,53.0,0.0,10.4,1015.6,Sunny
2023-09-23,16.6,91.0,29.0,52.9,994.9,Stormy
2025-10-06,17.7,87.0,48.2,11.8,1005.7,Rainy
2024-09-13,29.2,50.0,0.0,11.9,1014.4,Sunny
2024-02-10,12.1,49.0,0.0,14.3,1021.2,Sunny
2024-03-06,15.3,37.0,0.0,9.8,1016.3,Sunny
2025-06-22,29.0,34.0,0.0,7.1,1016.8,Sunny
2024-12-08,8.5,58.0,0.0,7.4,1008.8,Cloudy
2023-09-14,23.9,72.0,0.0,18.3,1017.1,Cloudy
2023-01-26,13.1,38.0,0.0,1.5,1020.5,Sunny
2023-01-11,11.1,45.0,0.0,12.3,1022.5,Sunny
2025-11-26,15.0,36.0,0.0,1.2,1020.8,Sunny
2023-04-17,10.5,100.0,32.6,36.7,986.6,Stormy
2023-02-25,7.7,71.0,0.0,19.3,1013.0,Cloudy
2024-12-24,8.0,69.0,0.0,16.7,1013.2,Cloudy
2023-08-02,31.5,45.0,0.0,10.2,1020.8,Sunny
2023-05-01,18.0,69.0,0.0,18.9,1011.2,Cloudy
2024-03-25,16.5,40.0,0.0,9.4,1023.1,Sunny
2025-11-14,9.3,83.0,4.4,21.6,1003.4,Rainy
2023-03-14,5.7,91.0,54.8,34.3,994.3,Stormy
2024-11-01,12.3,86.0,8.8,20.1,1000.3,Rainy
2025-08-20,23.6,89.0,3.5,12.0,1000.8,Rainy
2024-03-23,17.2,35.0,0.0,6.5,1016.2,Sunny
2024-03-08,,44.0,0.0,10.0,1014.6,Sunny
2025-12-06,13.2,43.0,0.0,14.9,1024.0,Sunny
2024-03-24,17.5,48.0,0.0,13.9,1021.4,Sunny
2024-01-07,6.2,56.0,0.0,20.2,1014.3,Cloudy
2025-10-29,20.4,35.0,0.0,11.2,1016.8,Sunny
2025-02-22,10.4,58.0,0.0,12.1,1014.1,Cloudy
2024-06-12,28.0,55.0,0.0,4.7,1017.1,Sunny
2025-11-24,16.7,55.0,0.0,15.5,1018.0,Sunny
2024-06-11,,50.0,0.0,12.1,1018.9,Sunny
2024-08-06,32.3,44.0,0.0,5.6,1016.1,Sunny
2023-12-01,5.4,81.0,13.7,18.2,999.8,Rainy
2024-03-04,14.9,32.0,0.0,6.4,1015.7,Sunny
2023-03-02,,37.0,0.0,8.4,1021.1,Sunny
2025-09-27,22.6,62.0,0.0,9.4,1013.2,Cloudy
2023-04-03,13.5,,0.0,8.4,1011.8,Cloudy
2025-10-09,22.8,36.0,0.0,8.5,1021.0,Sunny
2024-01-26,6.0,71.0,0.0,7.9,1012.1,Cloudy
2024-02-10,12.1,49.0,0.0,14.3,1021.2,Sunny
2023-10-08,17.0,92.0,2.7,16.8,1006.7,Rainy
2023-11-15,15.2,58.0,0.0,15.5,1013.8,Cloudy
2024-03-05,14.8,52.0,0.0,7.9,1017.1,Sunny
2025-09-03,29.6,43.0,0.0,3.9,1024.6,Sunny
2023-07-02,27.7,57.0,0.0,11.4,1008.9,Cloudy
2024-07-02,30.6,55.0,0.0,9.6,1025.7,Sunny
2025-07-21,32.5,51.0,0.0,5.2,1021.5,Sunny
2023-04-21,21.3,52.0,0.0,12.6,1014.2,Sunny
2024-02-14,8.0,82.0,24.8,17.3,999.6,Rainy
2024-08-25,31.0,55.0,0.0,4.8,1024.7,Sunny
2024-12-16,7.0,63.0,0.0,21.5,1009.9,Cloudy
2024-06-18,29.9,38.0,0.0,10.4,1018.3,Sunny
2024-12-02,11.8,52.0,0.0,3.3,1021.7,Sunny
2024-07-11,32.0,35.0,0.0,17.1,1022.6,Sunny
2023-09-19,22.1,72.0,0.0,13.8,1016.3,Cloudy
2024-12-18,11.1,55.0,0.0,7.5,1023.1,Sunny
2024-07-08,31.5,55.0,0.0,16.1,1017.7,Sunny
2024-07-24,33.8,43.0,0.0,12.1,1023.2,Sunny
2025-05-31,28.1,49.0,0.0,14.3,1018.9,Sunny
2023-05-18,25.5,49.0,0.0,9.6,1022.7,Sunny
2024-10-14,15.0,92.0,3.0,17.2,1008.9,Rainy
2024-01-03,8.5,51.0,0.0,5.6,1012.5,Cloudy
2025-06-24,25.3,85.0,10.2,23.9,1005.7,Rainy
2023-12-22,12.9,41.0,0.0,15.4,1020.2,Sunny
2025-03-28,18.7,38.0,0.0,10.9,1021.2,Sunny
2025-08-17,30.0,56.0,0.0,10.3,1022.7,Sunny
2023-01-30,6.7,58.0,0.0,14.7,1015.8,Cloudy
2023-06-15,29.7,50.0,0.0,12.7,1021.5,Sunny
2023-09-06,27.7,51.0,0.0,8.8,1019.2,Sunny
2023-11-04,17.0,75.0,0.0,8.1,1016.1,Cloudy
2025-05-02,23.1,48.0,0.0,13.2,1016.4,Sunny
2025-02-23,10.7,74.0,0.0,8.2,1010.8,Cloudy
2024-04-30,17.5,86.0,9.0,16.9,998.0,Rainy
2025-05-27,25.4,57.0,0.0,7.5,1008.1,Cloudy
2025-02-11,8.1,71.0,0.0,10.1,1012.2,Cloudy
2024-04-02,12.9,63.0,0.0,9.8,1014.9,Cloudy
2025-06-05,29.9,49.0,0.0,9.7,1024.6,Sunny
2025-03-10,14.5,46.0,0.0,10.5,1016.3,Sunny
2024-08-10,33.3,50.0,0.0,11.8,1023.4,Sunny
2023-03-07,5.5,85.0,24.4,26.9,1000.1,Rainy
2024-08-04,24.2,94.0,4.3,26.2,996.7,Rainy
2025-09-21,28.3,53.0,0.0,11.3,1025.2,Sunny
2024-12-07,12.2,57.0,0.0,8.3,1011.4,Cloudy
2023-09-12,19.7,88.0,63.3,37.0,992.3,Stormy
2025-03-19,10.5,73.0,0.0,11.5,1009.6,Cloudy
2023-11-09,10.2,88.0,4.4,27.2,1007.1,Rainy
2024-01-30,9.9,38.0,0.0,9.2,1016.4,Sunny
2023-08-10,30.7,48.0,0.0,9.4,1017.6,Sunny
2023-08-24,25.5,92.0,2.9,23.8,1002.6,Rainy
2024-11-13,11.5,70.0,0.0,14.8,1015.8,Cloudy
2025-10-10,14.6,82.0,7.5,23.9,1009.6,Rainy
2023-11-02,12.4,86.0,12.6,16.3,999.2,Rainy
2024-01-01,8.1,61.0,0.0,8.0,1014.6,Cloudy
2025-12-22,5.0,82.0,42.9,26.8,1000.5,Rainy
2025-11-21,14.3,40.0,0.0,10.8,1018.7,Sunny
2023-09-07,27.1,53.0,0.0,12.4,1023.4,Sunny
2024-10-05,25.7,39.0,0.0,12.1,1020.7,Sunny
2024-08-18,28.8,49.0,0.0,12.8,1017.7,Sunny
2023-03-13,15.3,43.0,0.0,2.4,1019.5,Sunny
2023-04-05,15.4,57.0,0.0,15.7,1011.9,Cloudy
2024-03-03,6.3,90.0,50.5,26.7,998.5,Rainy
2023-02-03,5.3,72.0,1.2,14.1,1011.2,Cloudy
2024-12-29,0.0,88.0,22.3,54.0,991.9,Stormy
2023-09-17,25.5,50.0,0.0,2.4,1018.1,Sunny
2023-07-24,23.7,89.0,30.8,49.1,988.2,Stormy
2024-04-10,14.8,67.0,0.0,11.9,1011.5,Cloudy
2024-12-01,7.2,96.0,69.7,36.9,988.9,Stormy
2025-02-26,13.5,40.0,0.0,11.5,1020.4,Sunny
2023-03-19,9.3,64.0,0.0,5.3,1009.6,Cloudy
2023-03-26,10.5,58.0,0.0,6.2,1012.7,Cloudy
2024-02-18,4.9,94.0,6.7,16.2,997.6,Rainy
2023-03-24,7.0,91.0,48.5,29.4,987.9,Stormy
2024-05-16,23.4,71.0,0.0,6.5,1007.9,Cloudy
2024-06-07,18.0,92.0,63.7,35.6,998.1,Stormy
2025-06-17,30.4,59.0,0.0,11.9,1013.2,Cloudy
2025-03-25,15.0,73.0,0.0,9.0,1013.0,Cloudy
2024-03-15,12.9,38.0,0.0,8.0,1015.7,Sunny
2024-03-09,5.4,85.0,3.7,20.2,998.8,Rainy
2025-08-31,26.2,59.0,0.0,15.7,1011.6,Cloudy
2023-12-17,9.6,73.0,0.0,11.6,1017.0,Cloudy
2025-03-01,5.2,87.0,3.9,15.0,1002.1,Rainy
2023-01-06,3.5,84.0,9.8,15.8,1007.8,Rainy
2023-11-07,17.9,53.0,0.0,10.0,1023.1,Sunny
2025-09-18,24.8,71.0,0.9,12.6,1011.4,Cloudy
2023-04-15,22.7,45.0,0.0,10.6,1017.9,Sunny
2023-04-08,19.8,47.0,0.0,10.3,1022.8,Sunny
2025-06-14,26.1,56.0,0.7,20.7,1014.9,Cloudy
2025-02-13,6.9,56.0,0.7,19.6,1013.1,Cloudy
2023-11-11,14.8,,0.0,8.2,1018.7,Sunny
2024-06-15,26.6,63.0,0.5,13.2,1013.5,Cloudy
2024-05-29,27.6,59.0,0.0,7.4,1011.9,Cloudy
2023-03-04,11.5,60.0,0.0,5.0,1010.5,Cloudy
2023-10-09,15.4,95.0,8.1,25.1,1000.0,Rainy
2024-09-22,17.2,90.0,62.1,45.4,989.5,Stormy
2023-09-24,18.9,88.0,36.1,,1003.0,Rainy
2025-09-07,29.8,45.0,0.0,11.1,1018.8,Sunny
2023-08-27,22.9,79.0,12.7,17.2,1008.5,Rainy
2024-03-11,14.8,55.0,0.0,13.8,1023.3,Sunny
2023-05-26,23.5,55.0,0.0,16.5,1014.2,Cloudy
2025-11-03,11.1,93.0,11.2,15.7,1003.1,Rainy
2024-03-27,14.4,61.0,0.0,11.4,1012.8,Cloudy
2025-03-27,10.5,89.0,4.3,16.1,1002.8,Rainy
2023-04-29,24.9,55.0,0.0,6.9,1020.5,Sunny
2024-11-20,12.2,70.0,0.0,7.2,1015.4,Cloudy
2024-06-03,19.9,97.0,57.1,61.1,998.9,Stormy
2023-09-08,25.3,58.0,1.0,8.5,1013.3,Cloudy
2024-05-08,24.6,41.0,0.0,,1021.7,Sunny
2023-10-13,14.9,79.0,26.5,26.9,1000.7,Rainy
2025-04-22,21.6,48.0,0.0,9.8,1021.5,Sunny
2023-01-10,4.9,82.0,5.4,15.0,1008.5,Rainy
2025-05-14,27.0,49.0,0.0,11.4,1020.8,Sunny
2023-07-16,34.6,49.0,0.0,13.8,1014.8,Sunny
2025-01-07,5.2,68.0,0.0,,1012.0,Cloudy
2024-01-06,3.3,88.0,35.0,38.7,993.0,Stormy
2023-03-23,11.9,81.0,3.5,24.9,1008.1,Rainy
2024-01-25,4.8,74.0,0.0,14.9,1015.1,Cloudy
2024-06-17,30.8,41.0,0.0,15.1,1020.5,Sunny
2024-08-17,30.0,44.0,0.0,8.9,1021.2,Sunny
2025-01-25,6.9,56.0,0.0,11.3,1013.3,Cloudy
2024-07-21,30.6,52.0,0.0,13.0,1010.2,Cloudy
2023-08-28,32.1,48.0,0.0,7.8,1021.3,Sunny
2024-08-07,28.0,73.0,0.0,14.0,1012.4,Cloudy
2023-07-31,33.0,44.0,0.0,14.8,1020.8,Sunny
2025-05-18,26.5,49.0,0.0,9.1,1020.2,Sunny
2023-05-25,20.1,89.0,17.9,28.7,1000.7,Rainy
2025-07-23,32.9,45.0,0.0,7.5,1022.9,Sunny
2025-12-15,2.4,88.0,30.8,47.1,990.7,Stormy
2023-08-16,25.6,70.0,0.0,15.5,1014.9,Cloudy
2025-10-24,19.4,66.0,0.0,11.7,1012.5,Cloudy
2025-06-08,29.7,50.0,0.0,11.8,1013.2,Sunny
